bot_id,bot_name,strategy,base_bet,starting_pool,table_max,rounds_played,rounds_capped,final_playing_pool,final_winnings,final_total,net_profit
1766,Judson Blevins,paroli,100.0,100000.0,50000.0,1154,1,0.0,101100.0,101100.0,1100.0
1767,Aila Pacheco,paroli,100.0,100000.0,50000.0,1165,2,0.0,92600.0,92600.0,-7400.0
1768,Erik Day,paroli,100.0,100000.0,50000.0,1130,2,0.0,89900.0,89900.0,-10100.0
1769,Hayden Arellano,paroli,100.0,100000.0,50000.0,1154,1,0.0,93500.0,93500.0,-6500.0
1770,Kellan Gibbs,paroli,100.0,100000.0,50000.0,1190,2,0.0,99500.0,99500.0,-500.0
1771,Carter Cohen,paroli,100.0,100000.0,50000.0,1126,0,0.0,91900.0,91900.0,-8100.0
1772,Killian Washington,paroli,100.0,100000.0,50000.0,1142,0,0.0,92400.0,92400.0,-7600.0
1773,Valerie Meadows,paroli,100.0,100000.0,50000.0,1145,0,0.0,92700.0,92700.0,-7300.0
1774,Wayne Henderson,paroli,100.0,100000.0,50000.0,1184,0,0.0,102400.0,102400.0,2400.0
1775,Maria Suarez,paroli,100.0,100000.0,50000.0,1146,0,0.0,93100.0,93100.0,-6900.0
1776,Soren Garrison,paroli,100.0,100000.0,50000.0,1138,0,0.0,95600.0,95600.0,-4400.0
1777,Cadence Cuevas,paroli,100.0,100000.0,50000.0,1101,1,0.0,82400.0,82400.0,-17600.0
1778,Brecken Khan,paroli,100.0,100000.0,50000.0,1138,1,0.0,93100.0,93100.0,-6900.0
1779,Mabel Richardson,paroli,100.0,100000.0,50000.0,1214,0,0.0,110000.0,110000.0,10000.0
1780,Robert Snyder,paroli,100.0,100000.0,50000.0,1169,2,0.0,100600.0,100600.0,600.0
1781,Callie Garrison,paroli,100.0,100000.0,50000.0,1199,0,0.0,105000.0,105000.0,5000.0
1782,Noe Howard,paroli,100.0,100000.0,50000.0,1133,4,0.0,90800.0,90800.0,-9200.0
1783,Sophie Villa,paroli,100.0,100000.0,50000.0,1121,2,0.0,94200.0,94200.0,-5800.0
1784,Clay Zuniga,paroli,100.0,100000.0,50000.0,1089,1,0.0,82100.0,82100.0,-17900.0
1785,Leslie McCall,paroli,100.0,100000.0,50000.0,1166,0,0.0,96100.0,96100.0,-3900.0
1786,Kiaan Brandt,paroli,100.0,100000.0,50000.0,1101,0,0.0,82000.0,82000.0,-18000.0
1787,Loretta Love,paroli,100.0,100000.0,50000.0,1184,1,0.0,104500.0,104500.0,4500.0
1788,Jeffrey Stanton,paroli,100.0,100000.0,50000.0,1174,1,0.0,98600.0,98600.0,-1400.0
1789,Jaycee Landry,paroli,100.0,100000.0,50000.0,1052,0,0.0,76400.0,76400.0,-23600.0
1790,Jaxx Hodges,paroli,100.0,100000.0,50000.0,1180,3,0.0,99800.0,99800.0,-200.0
1791,Eve Baldwin,paroli,100.0,100000.0,50000.0,1180,2,0.0,101700.0,101700.0,1700.0
1792,Jaiden Small,paroli,100.0,100000.0,50000.0,1147,3,0.0,89600.0,89600.0,-10400.0
1793,Zaria Shaw,paroli,100.0,100000.0,50000.0,1121,0,0.0,86800.0,86800.0,-13200.0
1794,Elliot Nicholson,paroli,100.0,100000.0,50000.0,1129,1,0.0,91600.0,91600.0,-8400.0
1795,Justice Kerr,paroli,100.0,100000.0,50000.0,1157,0,0.0,97100.0,97100.0,-2900.0
1796,Louie Carlson,paroli,100.0,100000.0,50000.0,1131,1,0.0,90300.0,90300.0,-9700.0
1797,Kali Buckley,paroli,100.0,100000.0,50000.0,1234,1,0.0,112500.0,112500.0,12500.0
1798,Aryan Garza,paroli,100.0,100000.0,50000.0,1155,1,0.0,97300.0,97300.0,-2700.0
1799,River Gentry,paroli,100.0,100000.0,50000.0,1165,1,0.0,96900.0,96900.0,-3100.0
1800,Magnus Holloway,paroli,100.0,100000.0,50000.0,1115,3,0.0,90500.0,90500.0,-9500.0
1801,Mae Farley,paroli,100.0,100000.0,50000.0,1129,0,0.0,87800.0,87800.0,-12200.0
1802,Graysen Camacho,paroli,100.0,100000.0,50000.0,1107,0,0.0,90200.0,90200.0,-9800.0
1803,Armani Hendrix,paroli,100.0,100000.0,50000.0,1181,2,0.0,100700.0,100700.0,700.0
1804,Korbyn Lim,paroli,100.0,100000.0,50000.0,1187,0,0.0,100800.0,100800.0,800.0
1805,Giavanna Goodman,paroli,100.0,100000.0,50000.0,1179,0,0.0,99200.0,99200.0,-800.0
1806,Philip Roach,paroli,100.0,100000.0,50000.0,1143,2,0.0,92400.0,92400.0,-7600.0
1807,Lyanna Solomon,paroli,100.0,100000.0,50000.0,1161,1,0.0,97200.0,97200.0,-2800.0
1808,Musa Cooper,paroli,100.0,100000.0,50000.0,1174,0,0.0,102700.0,102700.0,2700.0
1809,Serenity Browning,paroli,100.0,100000.0,50000.0,1110,0,0.0,90900.0,90900.0,-9100.0
1810,Rohan Sandoval,paroli,100.0,100000.0,50000.0,1178,0,0.0,101600.0,101600.0,1600.0
1811,Elsie Howard,paroli,100.0,100000.0,50000.0,1167,0,0.0,97800.0,97800.0,-2200.0
1812,Jeremiah Lam,paroli,100.0,100000.0,50000.0,1196,0,0.0,97700.0,97700.0,-2300.0
1813,Karina Moreno,paroli,100.0,100000.0,50000.0,1184,0,0.0,100000.0,100000.0,0.0
